Станция - Название (Номер);1;2;3;4;5;6;7;8;9;10
Саларьево - Сокольническая (1);0;0.5;0;0;0;0;0;0;0;0
Румянцево - Сокольническая (2);1;0;0.5;0;0;0;0;0;0;0
Тропарёво - Сокольническая (3);0;0.5;0;0.5;0;0;0;0;0;0
Юго-Западная - Сокольническая (4);0;0;0.5;0;0.5;0;0;0;0;0
Проспект Вернадского - Сокольническая (5);0;0;0;0.5;0;0.5;0;0;0;0
Университет - Сокольническая (6);0;0;0;0;0.5;0;0.5;0;0;0
Воробьёвы Горы - Сокольническая (7);0;0;0;0;0;0.5;0;0.333;0;0
Спортивная - Сокольническая (8);0;0;0;0;0;0;0.5;0;0.5;0
Фрунзенская - Сокольническая (9);0;0;0;0;0;0;0;0.333;0;0.333
Парк Культуры - Сокольническая (10);0;0;0;0;0;0;0;0;0.5;0
